index,title_raw,abstract_raw,title_clean,abstract_clean,mediphi_temp_0.5
144,Varieties of semantic cognition revealed through simultaneous decomposition of intrinsic brain connectivity and behaviour,,Varieties of semantic cognition revealed through simultaneous decomposition of intrinsic brain connectivity and behaviour,,"Temporal dynamics in brain connectivity and behaviour is a major theme in the field of neuroscience, and this paper explores the interplay between intrinsic brain connectivity and behavioral responses to stimuli. The paper focuses on the interplay between intrinsic brain connectivity and behavioral responses to stimuli, and explores how the interplay between these two components is revealed through simultaneous decomposition of intrinsic brain connectivity and behaviour. The paper argues that the interplay between intrinsic brain connectivity and behavioral responses is a fundamental aspect of the brain's structure and function, and that the interplay between these two components is a key aspect of the brain"
145,Volumetric and surface characteristics of gray matter in adult dyslexia and dyscalculia,,Volumetric and surface characteristics of gray matter in adult dyslexia and dyscalculia,,8
147,Distinguishing neural correlates of context-dependent advantageous- and disadvantageous-inequity aversion,"<jats:title>Significance</jats:title>
          <jats:p>Despite extensive research on disadvantageous inequity, little is known about advantageous inequity and whether these two types of inequity involve differential neurocognitive mechanisms. We address these questions from the perspective of context dependency and suggest that these two types of inequity are associated with differential neurocognitive substrates, subserved by different brain regions and in particular by the spatial gradient in insular activity. Our findings shed light on how social contexts (i.e., interpersonal guilt) are integrated into social decision making and suggest that the resistance to unequal situations when individuals are in disadvantageous status may primarily stem from their emotional responses, whereas the resistance to unequal situations when individuals are in advantageous status may involve advanced cognitive functions such as mentalizing.</jats:p>",Distinguishing neural correlates of context-dependent advantageous- and disadvantageous-inequity aversion,"Significance Despite extensive research on disadvantageous inequity, little is known about advantageous inequity and whether these two types of inequity involve differential neurocognitive mechanisms. We address these questions from the perspective of context dependency and suggest that these two types of inequity are associated with differential neurocognitive substrates, subserved by different brain regions and in particular by the spatial gradient in insular activity. Our findings shed light on how social contexts (i.e., interpersonal guilt) are integrated into social decision making and suggest that the resistance to unequal situations when individuals are in disadvantageous status may primarily stem from their emotional responses, whereas the resistance to unequal situations when individuals are in advantageous status may involve advanced cognitive functions such as mentalizing.","More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
149,Hypnotic analgesia reduces brain responses to pain seen in others,"<jats:title>Abstract</jats:title><jats:p>Brain responses to pain experienced by oneself or seen in other people show consistent overlap in the pain processing network, particularly anterior insula, supporting the view that pain empathy partly relies on neural processes engaged by self-nociception. However, it remains unresolved whether changes in one’s own pain sensation may affect empathic responding to others’ pain. Here we show that inducing analgesia through hypnosis leads to decreased responses to both self and vicarious experience of pain. Activations in the right anterior insula and amygdala were markedly reduced when participants received painful thermal stimuli following hypnotic analgesia on their own hand, but also when they viewed pictures of others’ hand in pain. Functional connectivity analysis indicated that this hypnotic modulation of pain responses was associated with differential recruitment of right prefrontal regions implicated in selective attention and inhibitory control. Our results provide novel support to the view that self-nociception is involved during empathy for pain, and demonstrate the possibility to use hypnotic procedures to modulate higher-level emotional and social processes.</jats:p>",Hypnotic analgesia reduces brain responses to pain seen in others,"Abstract Brain responses to pain experienced by oneself or seen in other people show consistent overlap in the pain processing network, particularly anterior insula, supporting the view that pain empathy partly relies on neural processes engaged by self-nociception. However, it remains unresolved whether changes in one’s own pain sensation may affect empathic responding to others’ pain. Here we show that inducing analgesia through hypnosis leads to decreased responses to both self and vicarious experience of pain. Activations in the right anterior insula and amygdala were markedly reduced when participants received painful thermal stimuli following hypnotic analgesia on their own hand, but also when they viewed pictures of others’ hand in pain. Functional connectivity analysis indicated that this hypnotic modulation of pain responses was associated with differential recruitment of right prefrontal regions implicated in selective attention and inhibitory control. Our results provide novel support to the view that self-nociception is involved during empathy for pain, and demonstrate the possibility to use hypnotic procedures to modulate higher-level emotional and social processes.","More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
153,Local striatal reward signals can be predicted from corticostriatal connectivity,,Local striatal reward signals can be predicted from corticostriatal connectivity,,"Example: example_title:Network neuroscienceexample_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of new"
154,That’s me in the spotlight: neural basis of individual differences in self-consciousness,,That’s me in the spotlight: neural basis of individual differences in self-consciousness,,"""methods"""
156,Neural mechanisms of cue-approach training,,Neural mechanisms of cue-approach training,,"understanding, principles, mechanisms, cognition, neuroscience, network neuroscience, emerging trends, brain-scale, complex, brain-network, integration, spatiotemporal, learning, learning-based, learning-based-on-cues, learning-based-on-approach, learning-based-on-cues, learning-based-on-cues-with-cues, learning-based-on-cues-with-cues-with-cues, learning-based-on-cues-with-cues-with-cues-with-cues, learning-based"
160,Brain responses to biological motion predict treatment outcome in young adults with autism receiving Virtual Reality Social Cognition Training: Preliminary findings,,Brain responses to biological motion predict treatment outcome in young adults with autism receiving Virtual Reality Social Cognition Training: Preliminary findings,,"More importantly I do not want a summary of the title/abstract i want a list of words that are also relational to each other, specifically words that are essential for each title and abstract."
161,"A studyforrest extension, simultaneous fMRI and eye gaze recordings during prolonged natural stimulation","<jats:title>Abstract</jats:title><jats:p>Here we present an update of the<jats:italic>studyforrest</jats:italic>(<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://studyforrest.org"">http://studyforrest.org</jats:ext-link>) dataset that complements the previously released functional magnetic resonance imaging (fMRI) data for natural language processing with a new two-hour 3 Tesla fMRI acquisition while 15 of the original participants were shown an<jats:italic>audio-visual</jats:italic>version of the stimulus motion picture. We demonstrate with two validation analyses that these new data support modeling specific properties of the complex natural stimulus, as well as a substantial within-subject BOLD response congruency in brain areas related to the processing of auditory inputs, speech, and narrative when compared to the existing fMRI data for audio-only stimulation. In addition, we provide participants' eye gaze location as recorded simultaneously with fMRI, and an additional sample of 15 control participants whose eye gaze trajectories for the entire movie were recorded in a lab setting—to enable studies on attentional processes and comparative investigations on the potential impact of the stimulation setting on these processes.</jats:p>","A studyforrest extension, simultaneous fMRI and eye gaze recordings during prolonged natural stimulation","Abstract Here we present an update of the studyforrest ( http://studyforrest.org ) dataset that complements the previously released functional magnetic resonance imaging (fMRI) data for natural language processing with a new two-hour 3 Tesla fMRI acquisition while 15 of the original participants were shown an audio-visual version of the stimulus motion picture. We demonstrate with two validation analyses that these new data support modeling specific properties of the complex natural stimulus, as well as a substantial within-subject BOLD response congruency in brain areas related to the processing of auditory inputs, speech, and narrative when compared to the existing fMRI data for audio-only stimulation. In addition, we provide participants' eye gaze location as recorded simultaneously with fMRI, and an additional sample of 15 control participants whose eye gaze trajectories for the entire movie were recorded in a lab setting—to enable studies on attentional processes and comparative investigations on the potential impact of the stimulation setting on these processes.","1. **Experimental protocol**: The experimental protocol includes the experimental design, data collection, data processing"
164,Odor-evoked category reactivation in human ventromedial prefrontal cortex during sleep promotes memory consolidation,"<jats:p>Slow-wave sleep is an optimal opportunity for memory consolidation: when encoding occurs in the presence of a sensory cue, delivery of that cue during sleep enhances retrieval of associated memories. Recent studies suggest that cues might promote consolidation by inducing neural reinstatement of cue-associated content during sleep, but direct evidence for such mechanisms is scant, and the relevant brain areas supporting these processes are poorly understood. Here, we address these gaps by combining a novel olfactory cueing paradigm with an object-location memory task and simultaneous EEG-fMRI recording in human subjects. Using pattern analysis of fMRI ensemble activity, we find that presentation of odor cues during sleep promotes reactivation of category-level information in ventromedial prefrontal cortex that significantly correlates with post-sleep memory performance. In identifying the potential mechanisms by which odor cues selectively modulate memory in the sleeping brain, these findings bring unique insights into elucidating how and what we remember.</jats:p>",Odor-evoked category reactivation in human ventromedial prefrontal cortex during sleep promotes memory consolidation,"Slow-wave sleep is an optimal opportunity for memory consolidation: when encoding occurs in the presence of a sensory cue, delivery of that cue during sleep enhances retrieval of associated memories. Recent studies suggest that cues might promote consolidation by inducing neural reinstatement of cue-associated content during sleep, but direct evidence for such mechanisms is scant, and the relevant brain areas supporting these processes are poorly understood. Here, we address these gaps by combining a novel olfactory cueing paradigm with an object-location memory task and simultaneous EEG-fMRI recording in human subjects. Using pattern analysis of fMRI ensemble activity, we find that presentation of odor cues during sleep promotes reactivation of category-level information in ventromedial prefrontal cortex that significantly correlates with post-sleep memory performance. In identifying the potential mechanisms by which odor cues selectively modulate memory in the sleeping brain, these findings bring unique insights into elucidating how and what we remember.","odor, reactivation, memory, consolidation, sleep, prefrontal cortex, ventromedial prefrontal cortex, category, category-level, category-level information, category-level information, object, location, context, cue, cue-associated, cue-related, cue-related information, category-level information, category-level information, category-level information, category-level information, category-level information, category-level information"
166,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,,"""Research directions: The availability of new empirical tools to create comprehensive maps and record dynamic patterns among molecules, neurons, brain areas and social systems"""
167,Topiramate modulates trigeminal pain processing in thalamo-cortical networks in humans after single dose administration,,Topiramate modulates trigeminal pain processing in thalamo-cortical networks in humans after single dose administration,,"understanding, principles, mechanisms, cognition, thalamo-cortical networks, thalamic-cortical processes, thalamic-cortical networks, thalamic-cortical processes, thalamic-cortical networks, thalamic-cortical processes, thalamic-cortical networks, thalamic-cortical networks, thalamic-cortical processes, thalamic-cortical processes, thalamic-cortical processes, thalamic-cortical processes, thalamic-cortical processes"
168,Knowing what from where: Hippocampal connectivity with temporoparietal cortex at rest is linked to individual differences in semantic and topographic memory,,Knowing what from where: Hippocampal connectivity with temporoparietal cortex at rest is linked to individual differences in semantic and topographic memory,,"""The brain's connectivity is a key factor in the functioning of the brain and is influenced by various factors, including the location of the brain's structures and the type of information being processed. For example, the brain's connectivity is influenced by the location of the brain's structures"
170,Shared states: using MVPA to test neural overlap between self-focused emotion imagery and other-focused emotion understanding,,Shared states: using MVPA to test neural overlap between self-focused emotion imagery and other-focused emotion understanding,,"The list is not exhaustive, but it covers all the terms that are essential for each title and abstract. These terms are important because they are not only essential to the content of the title but also provide a foundation for understanding the abstract."
172,Brain responses to biological motion predict treatment outcome in young children with autism,"<jats:title>Abstract</jats:title><jats:p>Autism spectrum disorders (ASDs) are common yet complex neurodevelopmental disorders, characterized by social, communication and behavioral deficits. Behavioral interventions have shown favorable results—however, the promise of precision medicine in ASD is hampered by a lack of sensitive, objective neurobiological markers (neurobiomarkers) to identify subgroups of young children likely to respond to specific treatments. Such neurobiomarkers are essential because early childhood provides a sensitive window of opportunity for intervention, while unsuccessful intervention is costly to children, families and society. In young children with ASD, we show that functional magnetic resonance imaging-based stratification neurobiomarkers accurately predict responses to an evidence-based behavioral treatment—pivotal response treatment. Neural predictors were identified in the pretreatment levels of activity in response to biological vs scrambled motion in the neural circuits that support social information processing (superior temporal sulcus, fusiform gyrus, amygdala, inferior parietal cortex and superior parietal lobule) and social motivation/reward (orbitofrontal cortex, insula, putamen, pallidum and ventral striatum). The predictive value of our findings for individual children with ASD was supported by a multivariate pattern analysis with cross validation. Predicting who will respond to a particular treatment for ASD, we believe the current findings mark the very first evidence of prediction/stratification biomarkers in young children with ASD. The implications of the findings are far reaching and should greatly accelerate progress toward more precise and effective treatments for core deficits in ASD.</jats:p>",Brain responses to biological motion predict treatment outcome in young children with autism,"Abstract Autism spectrum disorders (ASDs) are common yet complex neurodevelopmental disorders, characterized by social, communication and behavioral deficits. Behavioral interventions have shown favorable results—however, the promise of precision medicine in ASD is hampered by a lack of sensitive, objective neurobiological markers (neurobiomarkers) to identify subgroups of young children likely to respond to specific treatments. Such neurobiomarkers are essential because early childhood provides a sensitive window of opportunity for intervention, while unsuccessful intervention is costly to children, families and society. In young children with ASD, we show that functional magnetic resonance imaging-based stratification neurobiomarkers accurately predict responses to an evidence-based behavioral treatment—pivotal response treatment. Neural predictors were identified in the pretreatment levels of activity in response to biological vs scrambled motion in the neural circuits that support social information processing (superior temporal sulcus, fusiform gyrus, amygdala, inferior parietal cortex and superior parietal lobule) and social motivation/reward (orbitofrontal cortex, insula, putamen, pallidum and ventral striatum). The predictive value of our findings for individual children with ASD was supported by a multivariate pattern analysis with cross validation. Predicting who will respond to a particular treatment for ASD, we believe the current findings mark the very first evidence of prediction/stratification biomarkers in young children with ASD. The implications of the findings are far reaching and should greatly accelerate progress toward more precise and effective treatments for core deficits in ASD.","understanding, principles, mechanisms, cognition, autism, treatment outcomes,"
173,Letting the good times roll: adolescence as a period of reduced inhibition to appetitive social cues,,Letting the good times roll: adolescence as a period of reduced inhibition to appetitive social cues,,"Example: example_title:Network neuroscienceexample_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
175,Human Orbitofrontal Cortex Represents a Cognitive Map of State Space,,Human Orbitofrontal Cortex Represents a Cognitive Map of State Space,,spatiot
178,Temporal reliability of ultra-high field resting-state MRI for single-subject sensorimotor and language mapping,,Temporal reliability of ultra-high field resting-state MRI for single-subject sensorimotor and language mapping,,"Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
180,In vivo delineation of subdivisions of the human amygdaloid complex in a high‐resolution group template,"<jats:title>Abstract</jats:title><jats:p>The nuclei of the human amygdala remain difficult to distinguish in individual subject structural magnetic resonance images. However, interpretation of the amygdala's role in whole brain networks requires accurate localization of functional activity to a particular nucleus or subgroup of nuclei. To address this, high spatial resolution, three‐dimensional templates, using joint high accuracy diffeomorphic registration of T1‐ and T2‐weighted structural images from 168 typical adults between 22 and 35 years old released by the Human Connectome Project were constructed. Several internuclear boundaries are clearly visible in these templates, which would otherwise be impossible to delineate in individual subject data. A probabilistic atlas of major nuclei and nuclear groups was constructed in this template space and mapped back to individual spaces by inversion of the individual diffeomorphisms. Group level analyses revealed a slight (∼2%) bias toward larger total amygdala and nuclear volumes in the right hemisphere. No substantial sex or age differences were found in amygdala volumes normalized to total intracranial volume, or subdivision volumes normalized to amygdala volume. The current delineation provides a finer parcellation of the amygdala with more accurate external boundary definition than current histology‐based atlases when used in conjunction with high accuracy registration methods, such as diffeomorphic warping. These templates and delineation are intended to be an open and evolving resource for future functional and structural imaging studies of the human amygdala.<jats:italic>Hum Brain Mapp 37:3979–3998, 2016</jats:italic>. ©<jats:bold>2016 Wiley Periodicals, Inc.</jats:bold></jats:p>",In vivo delineation of subdivisions of the human amygdaloid complex in a high‐resolution group template,"Abstract The nuclei of the human amygdala remain difficult to distinguish in individual subject structural magnetic resonance images. However, interpretation of the amygdala's role in whole brain networks requires accurate localization of functional activity to a particular nucleus or subgroup of nuclei. To address this, high spatial resolution, three‐dimensional templates, using joint high accuracy diffeomorphic registration of T1‐ and T2‐weighted structural images from 168 typical adults between 22 and 35 years old released by the Human Connectome Project were constructed. Several internuclear boundaries are clearly visible in these templates, which would otherwise be impossible to delineate in individual subject data. A probabilistic atlas of major nuclei and nuclear groups was constructed in this template space and mapped back to individual spaces by inversion of the individual diffeomorphisms. Group level analyses revealed a slight (∼2%) bias toward larger total amygdala and nuclear volumes in the right hemisphere. No substantial sex or age differences were found in amygdala volumes normalized to total intracranial volume, or subdivision volumes normalized to amygdala volume. The current delineation provides a finer parcellation of the amygdala with more accurate external boundary definition than current histology‐based atlases when used in conjunction with high accuracy registration methods, such as diffeomorphic warping. These templates and delineation are intended to be an open and evolving resource for future functional and structural imaging studies of the human amygdala. Hum Brain Mapp 37:3979–3998, 2016 . © 2016 Wiley Periodicals, Inc.","""Subdivisions"
182,Endogenous fluctuations in the dopaminergic midbrain drive behavioral choice variability,"<jats:p>Human behavior is surprisingly variable, even when facing the same problem under identical circumstances. A prominent example is risky decision making. Economic theories struggle to explain why humans are so inconsistent. Resting-state studies suggest that ongoing endogenous fluctuations in brain activity can influence low-level perceptual and motor processes, but it remains unknown whether endogenous fluctuations also influence high-level cognitive processes including decision making. Here, using real-time functional magnetic resonance imaging, we tested whether risky decision making is influenced by endogenous fluctuations in blood oxygenation level-dependent (BOLD) activity in the dopaminergic midbrain, encompassing ventral tegmental area and substantia nigra. We show that low prestimulus brain activity leads to increased risky choice in humans. Using computational modeling, we show that increased risk taking is explained by enhanced phasic responses to offers in a decision network. Our findings demonstrate that endogenous brain activity provides a physiological basis for variability in complex human behavior.</jats:p>",Endogenous fluctuations in the dopaminergic midbrain drive behavioral choice variability,"Human behavior is surprisingly variable, even when facing the same problem under identical circumstances. A prominent example is risky decision making. Economic theories struggle to explain why humans are so inconsistent. Resting-state studies suggest that ongoing endogenous fluctuations in brain activity can influence low-level perceptual and motor processes, but it remains unknown whether endogenous fluctuations also influence high-level cognitive processes including decision making. Here, using real-time functional magnetic resonance imaging, we tested whether risky decision making is influenced by endogenous fluctuations in blood oxygenation level-dependent (BOLD) activity in the dopaminergic midbrain, encompassing ventral tegmental area and substantia nigra. We show that low prestimulus brain activity leads to increased risky choice in humans. Using computational modeling, we show that increased risk taking is explained by enhanced phasic responses to offers in a decision network. Our findings demonstrate that endogenous brain activity provides a physiological basis for variability in complex human behavior.",List of synonyms and paraphrases:
183,Fractionating the anterior temporal lobe: MVPA reveals differential responses to input and conceptual modality,,Fractionating the anterior temporal lobe: MVPA reveals differential responses to input and conceptual modality,,"understanding, principles, mechanisms, cognition, VPA, functional, concept, modality, A, B, C, D, E, F, G, H, I, J, K, L, M, N, P, S, P, R, T, W, W, X, Y, Z, W, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y, Z, X, Y"
184,Impaired neural processing of transitive relations in children with math learning difficulty,,Impaired neural processing of transitive relations in children with math learning difficulty,,2. **Enhanced understanding of the principles and
187,Brain networks for confidence weighting and hierarchical inference during probabilistic learning,"<jats:title>Significance</jats:title>
          <jats:p>What has been learned must sometimes be unlearned in a changing world. Yet knowledge updating is difficult since our world is also inherently uncertain. For instance, a heatwave in winter is surprising and ambiguous: does it denote an infrequent fluctuation in normal weather or a profound change? Should I trust my current knowledge, or revise it? We propose that humans possess an accurate sense of confidence that allows them to evaluate the reliability of their knowledge, and use this information to strike the balance between prior knowledge and current evidence. Our functional MRI data suggest that a frontoparietal network implements this confidence-weighted learning algorithm, acting as a statistician that uses probabilistic information to estimate a hierarchical model of the world.</jats:p>",Brain networks for confidence weighting and hierarchical inference during probabilistic learning,"Significance What has been learned must sometimes be unlearned in a changing world. Yet knowledge updating is difficult since our world is also inherently uncertain. For instance, a heatwave in winter is surprising and ambiguous: does it denote an infrequent fluctuation in normal weather or a profound change? Should I trust my current knowledge, or revise it? We propose that humans possess an accurate sense of confidence that allows them to evaluate the reliability of their knowledge, and use this information to strike the balance between prior knowledge and current evidence. Our functional MRI data suggest that a frontoparietal network implements this confidence-weighted learning algorithm, acting as a statistician that uses probabilistic information to estimate a hierarchical model of the world.","The article discusses the importance of a network in understanding complex brain functions and cognition. The article argues that networks are essential for understanding brain function and cognition, and that networks are not just a tool for predicting outcomes, but also for learning and updating knowledge. The article also discusses the importance of confidence in networks, and how"
188,Emotional brain states carry over and enhance future memory formation,,Emotional brain states carry over and enhance future memory formation,,"Example: example_title:Network neuroscienceexample_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of new empirical tools to create comprehensive maps and record dynamic"
192,Sliding-window analysis tracks fluctuations in amygdala functional connectivity associated with physiological arousal and vigilance during fear conditioning,,Sliding-window analysis tracks fluctuations in amygdala functional connectivity associated with physiological arousal and vigilance during fear conditioning,,"Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of new"
195,Dimensions of Experience: Exploring the Heterogeneity of the Wandering Mind,"<jats:p> The tendency for the mind to wander to concerns other than the task at hand is a fundamental feature of human cognition, yet the consequences of variations in its experiential content for psychological functioning are not well understood. Here, we adopted multivariate pattern analysis to simultaneously decompose experience-sampling data and neural functional-connectivity data, which revealed dimensions that simultaneously describe individual variation in self-reported experience and default-mode-network connectivity. We identified dimensions corresponding to traits of positive-habitual thoughts and spontaneous task-unrelated thoughts. These dimensions were uniquely related to aspects of cognition, such as executive control and the ability to generate information in a creative fashion, and independently distinguished well-being measures. These data provide the most convincing evidence to date for an ontological view of the mind-wandering state as encompassing a broad range of different experiences and show that this heterogeneity underlies mind wandering’s complex relationship to psychological functioning. </jats:p>",Dimensions of Experience: Exploring the Heterogeneity of the Wandering Mind,"The tendency for the mind to wander to concerns other than the task at hand is a fundamental feature of human cognition, yet the consequences of variations in its experiential content for psychological functioning are not well understood. Here, we adopted multivariate pattern analysis to simultaneously decompose experience-sampling data and neural functional-connectivity data, which revealed dimensions that simultaneously describe individual variation in self-reported experience and default-mode-network connectivity. We identified dimensions corresponding to traits of positive-habitual thoughts and spontaneous task-unrelated thoughts. These dimensions were uniquely related to aspects of cognition, such as executive control and the ability to generate information in a creative fashion, and independently distinguished well-being measures. These data provide the most convincing evidence to date for an ontological view of the mind-wandering state as encompassing a broad range of different experiences and show that this heterogeneity underlies mind wandering’s complex relationship to psychological functioning.","The tendency for the mind to wander to concerns other than the task at hand is a fundamental feature of human cognition, yet the consequences of variations in its experiential content for psychological functioning are not well understood. Here, we adopted multivariate pattern analysis to simultaneously decompose experience-sampling data and neural functional-connectivity data, which revealed dimensions that"
196,Neural correlates of durable memories across the adult lifespan: brain activity at encoding and retrieval,,Neural correlates of durable memories across the adult lifespan: brain activity at encoding and retrieval,,"""Cognitive"""
197,Neuroscientific insights into the development of analogical reasoning,"<jats:title>Abstract</jats:title><jats:p>Analogical reasoning, or the ability to find correspondences between entities based on shared relationships, supports knowledge acquisition. As such, the development of this ability during childhood is thought to promote learning. Here, we sought to better understand the mechanisms by which analogical reasoning about semantic relations improves over childhood and adolescence (e.g. chalk is to chalkboard as pen is to…?). We hypothesized that age‐related differences would manifest as differences in the brain regions associated with one or more of the following cognitive functions: (1) controlled semantic retrieval, or the ability to retrieve task‐relevant semantic associations; (2) response control, or the ability to override the tendency to respond to a salient distractor; and/or (3) relational integration, or the ability to consider jointly two mental relations. In order to test these hypotheses, we analyzed patterns of <jats:styled-content style=""fixed-case"">fMRI</jats:styled-content> activation during performance of a pictorial propositional analogy task across 95 typically developing children between the ages of 6 and 18 years old. Despite large age‐related differences in task performance, particularly over ages 6–10 but through to around age 14, participants across the whole age range recruited a common network of frontal, parietal and temporal regions. However, activation in a brain region that has been implicated in controlled semantic retrieval – left anterior prefrontal cortex (<jats:styled-content style=""fixed-case"">BA</jats:styled-content> 47/45) – was positively correlated with age, and also with performance after controlling for age. This finding indicates that improved performance over middle childhood and early adolescence on this analogical reasoning task is driven largely by improvements in the ability to selectively retrieve task‐relevant semantic relationships.</jats:p>",Neuroscientific insights into the development of analogical reasoning,"Abstract Analogical reasoning, or the ability to find correspondences between entities based on shared relationships, supports knowledge acquisition. As such, the development of this ability during childhood is thought to promote learning. Here, we sought to better understand the mechanisms by which analogical reasoning about semantic relations improves over childhood and adolescence (e.g. chalk is to chalkboard as pen is to…?). We hypothesized that age‐related differences would manifest as differences in the brain regions associated with one or more of the following cognitive functions: (1) controlled semantic retrieval, or the ability to retrieve task‐relevant semantic associations; (2) response control, or the ability to override the tendency to respond to a salient distractor; and/or (3) relational integration, or the ability to consider jointly two mental relations. In order to test these hypotheses, we analyzed patterns of fMRI activation during performance of a pictorial propositional analogy task across 95 typically developing children between the ages of 6 and 18 years old. Despite large age‐related differences in task performance, particularly over ages 6–10 but through to around age 14, participants across the whole age range recruited a common network of frontal, parietal and temporal regions. However, activation in a brain region that has been implicated in controlled semantic retrieval – left anterior prefrontal cortex ( BA 47/45) – was positively correlated with age, and also with performance after controlling for age. This finding indicates that improved performance over middle childhood and early adolescence on this analogical reasoning task is driven largely by improvements in the ability to selectively retrieve task‐relevant semantic relationships.","More importantly, I do not want a summary of the title/abstract i want a list of words that are also relational to each other, specifically words that are essential for each title and abstract."
198,A drama movie activates brains of holistic and analytical thinkers differentially,,A drama movie activates brains of holistic and analytical thinkers differentially,,"The abstract is a good summary, but it is missing the key elements that make it a comprehensive and meaningful title. The abstract is: ""A Drama Movie Activates Brains of Holistic and Analytical Thinkers Differentially."""
